ID;Name;Text;Money;Fear;Fame;
Lamps-numbness;Небесные лампы;Говорят, коридоры дворца нынче озарены серебряным сиянием звезд. Свет этот рассеивает даже самые жирные тени, а лампы не требуют ни масла, ни жира. Их называют одним из мировых чудес, а имя нынешнего короля теперь навеки останется в людской памяти.;1.5;;1;248
Lamps-healing-strength-wake-youth;Истлели, как искры;Недолго небесные огни озаряли коридоры и залы дворца. Лампы потускнели, лишь немногие счастливцы могут сказать, что видели их на пике могущества. Кто-то даже начал шептаться, что лампы – предвестники упадка королевского рода. Он так же вспыхнул ярко, а теперь слабеет. Чтобы избежать опасных разговоров, король велел лампы убрать.;1;;-0.5;330
Lamps-poison;Небесный яд;Во дворце большое горе. Пострадало несколько стражей и десяток прислужников, отравившихся испарениями звездных ламп. Бог уберег особ королевской крови, но кастелян теперь поспешно ищет замену несчастным слугам. Лампы вывезли на старое кладбище, залили известью и зарыли в глубокой яме.;;1;-0.5;285
Lamps-love-beauty;Очарованные небесным светом;Лампы, начиненные звездной пылью, были настолько пленительны, что многие не могли оторвать от них взора. Увы, как и все прекрасное, небесный свет быстро угас. А вместе с тем поникли очарованные им люди. Почти неделю они глазели ночами на небо, но так и не смогли насытиться серебряным сиянием. Видимо, избавить их от печали можно лишь зельями и чарами.;1;;1;352
Lamps-flight;Блуждающие огоньки;Даже искуснейшим мастерам, изготавливающим лампы для дворца, не удалось обуздать сияние звезд. Огоньки вылетели из ламп и долго плавали по коридорам, пугая прислугу. Один, кажется, выпорхнул из окна и умчался на топи, чтобы вплестись в хоровод мрачных болотных сестриц.;;0.5;-0.5;269
Lamps-perception;Угасание;Невзирая на труды ученых людей, распалить звездный огонь так и не удалось. Пыль мало того, что угасла, так еще и словно испарилась. Раздосадованный монарх велел выбросить ламы и наказать виновных. Впрочем, слухи говорили о том, что в мусорных ямах и стоках иногда можно заметить слабое серебряное сияние… Но кто возьмется проверять, ложь ли это?;;;-1;345
Sectarians-default;Обитель Истинной Справедливости;До вас дошли слухи о тайной общине, что вербовала селян и горожан. Набрав почти сотню последователей, они погрузили их в телеги и увезли в неизвестном направлении. Говорят, вскоре невольники оказались на тайных рабских рынках и в борделях. Церковь недовольна, инквизиция лютует, а вам теперь лучше вести себя как можно тише.;;;1;324
Sectarians-wake-speed-strenght;Пес Божий;По окрестностям разносятся слухи о божьем человеке, что вломился в обитель тайной общины и учинил погром. Много носов и костей было сломано, да мало что это дало. Еретики разбежались, бросив оболваненную паству на растерзание инквизиции.;;0.5;;237
Sectarians-love-beauty;Явление;Посланник церкви заявился в обитель еретиков. И был он так прекрасен и чист душой, что вся паства, как и сами отступники, пошли вслед за ним, посчитав воплощением Бога. К сожалению для них, вместо райских ворот он привел дурней в лапы инквизиторов.;;-1;;248
Sectarians-laughter;Демон смеха;Церковник прикинулся новым послушником общины и влил ваше зелье в котел с похлебкой. А потом отправился к инквизиторам и обвинил еретиков в том, что они поклоняются демону смеха. Даже когда отступников жгли каленым железом и вели к кострам, негодники продолжали хохотать, обливаясь слезами. Мир станет чище без подобных отродий!;;0.5;-0.2;328
Sectarians-perception;В овечьей шкуре;Благодаря отважному служителю церкви был раскрыт жуткий заговор. Гнусные работорговцы, прикидывающиеся общиной Истинной Справедливости, набирали последователей и продавали в рабство. Божий человек пробрался незаметно в обитель и выведал все их тайны, после чего навел на паскудников святую инквизицию. Ибо никому не дозволено дурить простой народ!;;-1;;347
Sectarians-flight;Карающий ангел;Молва донесла до вас удивительную историю об ангеле, что низвергся с небес прямо в тайную обитель работорговцев. Они вербовали простой люд и вывозили на рынки и в бордели. Но от Господа ничего не скрыть, и он повелел своему посланнику научить грешников уму-разуму! Негодяи в ужасе разбежались, а кто-то и вовсе сдался церкви. Епископ слухи не спешит подтверждать, но и не опровергает…;;-0.5;0.5;384
Love_of_a_Robber-mindblowing;Отчий дом;Вернулась из лесу дочь известного морехода. Как ни старалась – не смогла вспомнить, что стряслось. Но одета была богаче дворянки, еще и золота приволокла мешок! Слухи о том, что ее выкрали разбойники, не отпугнули находчивых крестьянок. Они так и бродят возле леса! Ждут, что их тоже выкрадут, а потом вернут в мехах и с золотом. Даже местный пахарь там ошивается…;1;;;364
Love_of_a_Robber-numbness;Пленница лесного царя;Вернувшаяся из лесу девица утверждала, что выкрал ее лесной человек. Сам он походил на дерево, бородища была из мха и лишайника, а в кроне так и шныряли белки. Отец несчастной пообещал отвезти ее к лучшим заморским лекарям. А то, чего доброго, снова в чащу отправится, бородатого лесохода разыскивать! Больно уж он приглянулся ей.;0.5;;;330
Love_of_a_Robber-flight;Перелетная дева;Давеча прямо с неба в копну сена рухнула девица. Та самая дочь морехода, которую разыскивали целый месяц. Она рассказывала о разбойниках и их гнусном предводителе, похитившем ее и опоившем зельем. Увы, ей никто не поверил. Летунью отправили в монастырь, ибо для птиц и ангелов предназначено небо, а не для чудаковатых молодух!;;;1;326
Love_of_a_Robber-default-poison;Пропавшая;Несмотря на упорные поиски, мореход так и не нашел свою дочь. Говорят, ее похитили то ли разбойники, то ли утащили дикие звери. Несчастный отец поклялся извести все зло, что осквернило местный лес, и передал внушительную сумму егерям и охотникам. На какое-то время в здешних лесах точно станет спокойнее.;;-1;-0.5;304
