id;name_RU;description_RU;name_EN;description_EN
Love;Приворотное зелье;Концентрированная любовь в бутылке.;Love potion;Love in a bottle, open with a screw.
Unlove;Отворотное зелье;Лучшее средство, чтобы вернуть похищенную любовь.;Rejection potion;Best way to get a stolen love back.
Strength;Зелье силы;Чтобы быть МОГУЧИМ! Осторожно: вызывает привыкание.;Potion of strength;MIGHT over matter! Warning: may cause addiction.
Curse;Зелье порчи;Сильно портит удачу, ослабляет здоровье. Не пролей на себя!;Hexing potion;Inflicts misfortune, weakens health. Did you just spill it on yourself?
Healing;Лечащий эликсир;Исцелит любую боль, кроме душевной.;Healing elixir;Cures all but broken heart.
Poison;Ядовитый отвар;Одна капля - и нет врага на свете!;Poisonous decoction;One drop, one drops.
Chameleon;Зелье отвода глаз;Поможет воровать яблоки или что-то более интересное.;Chameleon potion;No one will see you coming.
Beaty;Зелье красоты;Сделает тебя прекраснейшим во всей стране.;Beauty potion;Makes you the fairest in all the land.
Laughter;Зелье безудержного смеха;Шутка про шляпу никогда еще не была такой смешной;Potion of irresistible laughter;What's brown and sticky?
Sleep;Сонное зелье ;Хрррррррррррррр...;Sleep potion;Smells vaguely of hay and sheep for some reason.
Voice Change;Эликсир смены голоса;Идеально для розыгрышей. Время действия не уточняется.;Voice-changing elixir;Perfect for pranks. Funny, no one knows how long it will last!
Wake;Зелье бодрости;Коричневая жидкость с упоительным запахом.;Pickmeup potion;Dark brown liquid, smells delicious.
Memory;Зелье стирания памяти;Забудешь все неприятное. Правда, тебя это не изменит.;Potion of oblivion;Get rid of every bad memory. How much of you remains?
